stroke_id x y time is_writing
0 64 221 0 1
0 67 218 8 1
0 69 217 13 1
0 72 216 18 1
0 79 212 24 1
0 82 210 30 1
0 86 208 36 1
0 90 206 37 1
0 99 200 46 1
0 109 194 53 1
0 114 192 61 1
0 119 189 62 1
0 129 184 71 1
0 134 181 73 1
0 144 175 83 1
0 153 170 91 1
0 162 166 99 1
0 170 161 107 1
0 174 159 111 1
0 177 157 113 1
0 183 153 122 1
0 189 149 132 1
0 191 147 133 1
0 196 144 144 1
0 198 143 156 1
0 196 143 181 1
0 192 144 191 1
0 185 146 202 1
0 176 151 213 1
0 169 153 224 1
0 165 154 225 1
0 154 157 239 1
0 143 162 250 1
0 133 165 262 1
0 126 166 275 1
0 121 168 287 1
0 117 169 299 1
0 117 167 325 1
0 119 166 338 1
0 128 162 351 1
0 141 157 365 1
0 152 155 379 1
0 167 150 394 1
0 176 147 408 1
0 179 147 409 1
0 189 143 426 1
0 195 143 441 1
0 197 143 456 1
0 199 143 471 1
0 200 147 486 1
0 197 154 502 1
0 192 161 518 1
0 185 169 534 1
0 176 177 551 1
0 168 184 567 1
0 163 188 584 1
0 158 192 601 1
0 156 194 618 1
