stroke_id x y time is_writing
0 112 142 0 1
0 109 142 5 1
0 106 143 10 1
0 103 146 15 1
0 101 149 17 1
0 98 153 23 1
0 96 156 24 1
0 93 159 32 1
0 91 163 33 1
0 87 173 41 1
0 84 182 48 1
0 83 187 56 1
0 83 192 57 1
0 83 203 65 1
0 85 212 74 1
0 87 220 82 1
0 91 227 91 1
0 96 233 99 1
0 99 235 100 1
0 106 240 112 1
0 115 242 121 1
0 119 242 122 1
0 127 242 132 1
0 140 239 142 1
0 149 236 153 1
0 161 227 163 1
0 168 220 173 1
0 171 216 174 1
0 178 204 187 1
0 179 190 199 1
0 174 175 211 1
0 163 161 223 1
0 150 151 235 1
0 135 148 247 1
0 120 151 259 1
0 105 158 272 1
0 90 166 285 1
0 86 169 286 1
0 76 178 302 1
