stroke_id x y time is_writing
0 108 158 0 1
0 111 160 12 1
0 113 161 20 1
0 116 163 29 1
0 120 165 36 1
0 122 166 42 1
0 126 168 48 1
0 128 170 55 1
0 132 173 61 1
0 135 174 68 1
0 137 176 69 1
0 142 181 76 1
0 144 184 83 1
0 146 186 84 1
0 151 193 92 1
0 155 199 101 1
0 159 205 109 1
0 163 210 118 1
0 167 215 127 1
0 171 218 135 1
0 172 221 136 1
0 174 223 146 1
0 177 225 155 1
0 179 228 156 1
0 181 231 166 1
0 183 233 176 1
0 185 235 187 1
0 186 238 200 1
0 186 240 224 1
0 184 239 252 1
0 182 237 263 1
0 178 235 275 1
0 170 234 287 1
0 162 232 299 1
0 153 230 311 1
0 150 230 312 1
0 139 231 325 1
0 129 233 338 1
0 120 235 352 1
0 117 236 353 1
0 110 239 367 1
0 104 240 380 1
0 100 243 394 1
0 97 245 408 1
0 99 243 461 1
0 101 241 475 1
0 104 239 490 1
0 108 233 505 1
0 113 229 520 1
0 123 219 536 1
0 132 208 552 1
0 143 195 568 1
0 146 192 569 1
0 158 180 586 1
0 168 172 603 1
0 175 165 620 1
0 180 161 637 1
0 182 159 654 1
0 184 157 673 1
