stroke_id x y time is_writing
0 103 154 0 1
0 105 157 16 1
0 106 159 27 1
0 108 161 43 1
0 110 164 50 1
0 112 167 58 1
0 114 170 66 1
0 117 174 74 1
0 119 177 81 1
0 120 179 82 1
0 123 184 90 1
0 124 186 98 1
0 126 189 99 1
0 128 195 106 1
0 131 201 114 1
0 134 208 122 1
0 136 213 131 1
0 138 219 139 1
0 139 222 148 1
0 141 225 157 1
0 142 228 165 1
0 143 231 175 1
0 145 230 214 1
0 146 228 224 1
0 146 225 233 1
0 147 222 234 1
0 147 217 245 1
0 148 210 256 1
0 149 200 267 1
0 150 191 278 1
0 151 184 289 1
0 152 181 291 1
0 155 171 302 1
0 158 163 315 1
0 161 158 327 1
0 165 148 339 1
0 168 144 352 1
0 169 141 365 1
0 171 139 377 1
0 173 137 390 1
0 174 135 403 1
