stroke_id x y time is_writing
0 54 240 0 1
0 54 242 30 1
0 56 243 65 1
0 59 245 86 1
0 61 246 98 1
0 64 245 110 1
0 66 245 119 1
0 69 245 127 1
0 71 245 135 1
0 75 245 143 1
0 78 244 151 1
0 81 244 159 1
0 85 242 167 1
0 88 242 175 1
0 90 242 183 1
0 94 241 191 1
0 96 240 192 1
0 98 240 200 1
0 102 240 208 1
0 105 239 217 1
0 108 239 226 1
0 114 236 235 1
0 116 235 245 1
0 118 235 254 1
0 121 234 264 1
0 123 233 274 1
0 125 232 284 1
0 128 230 295 1
0 130 227 306 1
0 132 226 316 1
0 134 225 327 1
0 137 224 338 1
0 139 222 339 1
0 141 219 351 1
0 143 218 364 1
0 145 216 377 1
0 147 214 389 1
0 149 212 402 1
0 151 210 414 1
0 153 208 427 1
0 154 205 440 1
0 156 203 453 1
0 158 201 467 1
0 160 195 481 1
0 162 193 495 1
0 164 189 509 1
0 165 187 523 1
0 168 181 538 1
0 168 179 553 1
0 170 175 568 1
0 170 172 584 1
0 170 170 599 1
0 170 167 614 1
0 169 165 630 1
0 169 163 646 1
0 167 160 662 1
0 166 158 679 1
0 164 157 695 1
0 161 155 713 1
0 159 154 733 1
0 157 152 750 1
0 155 152 770 1
0 151 153 790 1
0 149 152 808 1
0 145 153 826 1
0 143 155 845 1
0 140 156 863 1
0 136 159 882 1
0 134 161 901 1
0 131 166 920 1
0 130 168 921 1
0 128 174 941 1
0 124 184 962 1
0 122 192 982 1
0 121 199 1003 1
0 120 204 1024 1
0 121 211 1044 1
0 123 218 1066 1
0 126 223 1086 1
0 129 228 1108 1
0 133 231 1130 1
0 135 233 1154 1
0 140 237 1176 1
0 144 239 1199 1
0 149 239 1222 1
0 153 238 1245 1
0 155 239 1268 1
0 157 239 1269 1
0 159 239 1292 1
0 161 239 1293 1
0 165 239 1317 1
0 167 239 1341 1
0 170 238 1365 1
0 172 238 1366 1
0 174 237 1390 1
0 176 236 1415 1
0 178 234 1440 1
0 182 232 1465 1
0 185 228 1491 1
0 188 227 1522 1
0 190 226 1549 1
0 192 224 1575 1
0 192 222 1603 1
