stroke_id x y time is_writing
0 60 216 0 1
0 62 215 47 1
0 64 213 59 1
0 66 211 71 1
0 68 210 79 1
0 70 207 87 1
0 72 206 95 1
0 74 204 103 1
0 77 202 111 1
0 80 200 119 1
0 83 197 127 1
0 86 194 135 1
0 90 191 143 1
0 92 189 150 1
0 94 188 152 1
0 98 184 160 1
0 102 182 168 1
0 104 181 176 1
0 108 177 185 1
0 111 174 194 1
0 118 170 203 1
0 121 167 213 1
0 124 165 222 1
0 127 161 232 1
0 129 158 242 1
0 132 157 243 1
0 134 155 254 1
0 136 153 264 1
0 138 151 275 1
0 140 149 291 1
0 141 147 344 1
0 138 148 450 1
0 136 149 470 1
0 134 149 487 1
0 132 149 503 1
0 130 148 515 1
0 127 149 527 1
0 125 149 540 1
0 123 149 552 1
0 121 148 567 1
0 119 149 580 1
0 117 148 595 1
0 115 149 608 1
0 112 149 622 1
0 110 149 636 1
0 108 149 651 1
0 106 150 686 1
0 104 149 710 1
0 102 149 742 1
0 103 147 816 1
0 105 147 833 1
0 107 146 848 1
0 109 147 865 1
0 114 146 881 1
0 118 145 898 1
0 121 146 915 1
0 125 145 932 1
0 127 145 933 1
0 131 144 951 1
0 136 144 969 1
0 138 145 986 1
0 140 144 1004 1
0 142 144 1022 1
0 144 145 1044 1
0 145 147 1136 1
0 145 150 1189 1
0 145 152 1208 1
0 145 156 1227 1
0 145 161 1247 1
0 146 167 1266 1
0 146 171 1286 1
0 146 173 1306 1
0 146 176 1326 1
0 146 178 1346 1
0 144 180 1413 1
