stroke_id x y time is_writing
0 108 158 0 1
0 106 155 12 1
0 105 153 20 1
0 106 150 29 1
0 107 147 36 1
0 108 145 42 1
0 110 141 48 1
0 113 137 56 1
0 115 135 63 1
0 120 130 69 1
0 124 127 76 1
0 127 125 83 1
0 129 123 85 1
0 134 122 92 1
0 138 121 100 1
0 142 121 108 1
0 145 122 116 1
0 148 126 125 1
0 149 128 133 1
0 151 134 142 1
0 151 139 151 1
0 151 141 152 1
0 149 148 165 1
0 147 152 175 1
0 144 155 184 1
0 141 158 195 1
0 135 163 205 1
0 132 165 215 1
0 129 166 226 1
0 127 168 237 1
0 124 169 248 1
0 122 171 260 1
0 120 173 272 1
0 119 175 284 1
0 119 178 297 1
0 118 180 310 1
0 119 182 322 1
0 119 184 335 1
0 119 186 347 1
0 119 188 360 1
0 119 191 373 1
0 119 193 387 1
