stroke_id x y time is_writing
0 70 217 0 1
0 71 219 52 1
0 73 220 72 1
0 76 222 88 1
0 77 224 96 1
0 78 227 108 1
0 81 230 121 1
0 82 233 129 1
0 84 235 137 1
0 85 237 145 1
0 87 240 153 1
0 88 242 161 1
0 89 245 170 1
0 89 247 178 1
0 91 249 198 1
0 92 251 242 1
0 92 249 320 1
0 93 247 328 1
0 93 245 337 1
0 94 243 345 1
0 96 240 354 1
0 96 238 363 1
0 101 230 373 1
0 103 228 382 1
0 106 224 391 1
0 107 222 392 1
0 111 217 403 1
0 116 210 413 1
0 123 200 424 1
0 128 192 435 1
0 130 189 436 1
0 135 182 447 1
0 137 179 448 1
0 142 175 460 1
0 143 172 472 1
0 146 170 485 1
