stroke_id x y time is_writing
0 68 244 0 1
0 70 243 24 1
0 72 242 40 1
0 75 240 53 1
0 77 238 60 1
0 79 234 69 1
0 79 232 75 1
0 81 230 82 1
0 83 227 90 1
0 83 225 97 1
0 85 220 103 1
0 87 216 111 1
0 88 214 118 1
0 88 211 119 1
0 91 205 126 1
0 93 201 134 1
0 96 195 143 1
0 98 191 151 1
0 101 187 159 1
0 103 183 168 1
0 105 181 177 1
0 108 179 186 1
0 110 178 196 1
0 112 178 206 1
0 115 180 216 1
0 120 190 227 1
0 123 199 237 1
0 124 203 238 1
0 128 214 253 1
0 131 229 267 1
0 132 237 282 1
0 134 242 297 1
0 134 244 311 1
0 136 246 338 1
0 136 244 391 1
