stroke_id x y time is_writing
0 86 160 0 1
0 87 158 25 1
0 87 161 68 1
0 88 163 76 1
0 89 167 84 1
0 89 169 90 1
0 90 174 96 1
0 90 177 103 1
0 91 185 110 1
0 91 193 116 1
0 91 197 123 1
0 91 201 125 1
0 91 206 132 1
0 90 211 133 1
0 89 219 141 1
0 87 225 149 1
0 86 232 157 1
0 85 238 165 1
0 84 242 174 1
0 84 245 183 1
0 84 248 193 1
0 84 250 202 1
0 84 252 216 1
0 84 254 237 1
0 86 254 298 1
0 88 254 314 1
0 90 253 326 1
0 92 252 336 1
0 95 251 347 1
0 101 251 358 1
0 105 249 369 1
0 111 248 381 1
0 116 247 392 1
0 122 243 403 1
0 127 242 415 1
0 133 241 427 1
0 139 239 439 1
0 142 238 451 1
0 149 237 464 1
0 152 237 477 1
0 159 235 490 1
0 165 235 503 1
0 168 234 517 1
0 173 235 533 1
0 177 235 547 1
0 180 235 561 1
0 182 235 575 1
0 184 233 590 1
0 184 231 610 1
0 183 229 625 1
0 182 226 640 1
0 179 222 655 1
0 177 218 670 1
0 175 212 686 1
0 173 206 702 1
0 172 203 703 1
0 170 196 719 1
0 167 190 736 1
0 165 181 753 1
0 165 179 754 1
0 164 171 772 1
0 163 167 789 1
0 163 162 807 1
0 163 160 826 1
0 163 158 851 1
0 163 155 879 1
0 163 152 897 1
0 161 151 968 1
0 156 150 993 1
0 149 150 1019 1
0 143 151 1039 1
0 140 151 1040 1
0 134 152 1061 1
0 124 154 1084 1
0 114 154 1105 1
0 106 155 1126 1
0 98 156 1146 1
0 92 157 1167 1
0 85 161 1189 1
0 83 164 1209 1
0 80 165 1231 1
0 78 166 1252 1
