stroke_id x y time is_writing
0 152 124 0 1
0 152 124 10 1
0 152 124 20 1
0 152 124 30 1
0 152 125 40 1
0 151 126 50 1
0 150 128 60 1
0 148 130 70 1
0 146 134 80 1
0 142 139 90 1
0 138 144 100 1
0 132 149 110 1
0 125 156 120 1
0 118 163 130 1
0 110 169 140 1
0 103 176 150 1
0 97 182 160 1
0 92 186 170 1
0 88 190 180 1
0 85 193 190 1
0 84 195 200 1
0 85 196 210 1
0 88 197 220 1
0 93 198 230 1
0 98 198 240 1
0 105 199 250 1
0 112 199 260 1
0 120 200 270 1
0 127 201 280 1
0 135 202 290 1
0 141 204 300 1
0 147 205 310 1
0 152 207 320 1
0 156 209 330 1
0 160 212 340 1
0 163 215 350 1
0 166 218 360 1
0 168 221 370 1
0 170 222 380 1
0 171 223 390 1
0 172 222 400 1
0 173 220 410 1
0 173 218 420 1
0 172 214 430 1
0 172 209 440 1
0 170 203 450 1
0 169 196 460 1
0 168 189 470 1
0 166 181 480 1
0 164 174 490 1
0 163 167 500 1
0 162 161 510 1
0 160 156 520 1
0 159 151 530 1
0 158 146 540 1
0 157 142 550 1
0 155 138 560 1
0 153 134 570 1
0 152 131 580 1
0 150 130 590 1
0 148 129 600 1
0 148 129 610 1
