stroke_id x y time is_writing
0 92 155 0 1
0 92 155 10 1
0 92 156 20 1
0 93 157 30 1
0 93 159 40 1
0 94 160 50 1
0 94 161 60 1
0 94 164 70 1
0 95 168 80 1
0 95 174 90 1
0 96 180 100 1
0 96 186 110 1
0 97 192 120 1
0 98 198 130 1
0 99 204 140 1
0 100 209 150 1
0 102 213 160 1
0 103 217 170 1
0 104 222 180 1
0 106 226 190 1
0 106 231 200 1
0 106 235 210 1
0 104 239 220 1
0 103 240 230 1
0 102 239 240 1
0 104 239 250 1
0 106 239 260 1
0 108 240 270 1
0 110 241 280 1
0 111 243 290 1
0 112 244 300 1
0 113 245 310 1
0 114 245 320 1
0 114 245 330 1
0 115 243 340 1
0 115 239 350 1
0 115 232 360 1
0 115 223 370 1
0 114 212 380 1
0 114 199 390 1
0 115 187 400 1
0 117 176 410 1
0 120 167 420 1
0 125 160 430 1
0 131 156 440 1
0 136 155 450 1
0 142 154 460 1
0 146 154 470 1
0 149 155 480 1
0 152 155 490 1
