stroke_id x y time is_writing
0 96 156 0 1
0 96 156 10 1
0 96 156 20 1
0 96 156 30 1
0 96 156 40 1
0 96 156 50 1
0 97 156 60 1
0 98 157 70 1
0 98 158 80 1
0 100 158 90 1
0 101 159 100 1
0 102 160 110 1
0 104 162 120 1
0 106 167 130 1
0 110 177 140 1
0 116 190 150 1
0 124 205 160 1
0 132 219 170 1
0 140 230 180 1
0 146 238 190 1
0 150 242 200 1
0 152 245 210 1
0 154 246 220 1
0 154 247 230 1
0 155 247 240 1
0 155 248 250 1
0 155 248 260 1
0 155 248 270 1
0 155 248 280 1
0 155 248 290 1
0 155 248 300 1
0 155 247 310 1
0 154 247 320 1
0 153 248 330 1
0 153 248 340 1
0 153 249 350 1
0 153 250 360 1
0 154 250 370 1
0 154 250 380 1
0 155 250 390 1
0 155 250 400 1
0 155 250 410 1
0 156 250 420 1
0 156 249 430 1
0 156 249 440 1
0 156 247 450 1
0 156 246 460 1
0 156 242 470 1
0 157 238 480 1
0 157 231 490 1
0 158 223 500 1
0 160 212 510 1
0 161 200 520 1
0 164 188 530 1
0 166 175 540 1
0 168 163 550 1
0 171 152 560 1
0 173 143 570 1
0 176 135 580 1
0 178 129 590 1
0 179 125 600 1
0 180 123 610 1
0 181 122 620 1
0 182 121 630 1
0 182 121 640 1
