stroke_id x y time is_writing
0 50 211 0 1
0 51 210 10 1
0 53 210 20 1
0 55 210 30 1
0 57 210 40 1
0 59 211 50 1
0 61 212 60 1
0 63 214 70 1
0 65 217 80 1
0 65 220 90 1
0 66 223 100 1
0 67 225 110 1
0 68 227 120 1
0 71 229 130 1
0 76 229 140 1
0 83 228 150 1
0 91 226 160 1
0 100 224 170 1
0 110 221 180 1
0 120 217 190 1
0 130 213 200 1
0 139 210 210 1
0 147 207 220 1
0 154 203 230 1
0 160 200 240 1
0 165 197 250 1
0 169 195 260 1
0 173 193 270 1
0 176 191 280 1
0 180 189 290 1
0 182 188 300 1
0 185 187 310 1
0 187 185 320 1
0 188 183 330 1
0 189 181 340 1
0 190 179 350 1
0 189 176 360 1
0 189 174 370 1
0 188 172 380 1
0 187 169 390 1
0 185 167 400 1
0 182 164 410 1
0 180 162 420 1
0 177 160 430 1
0 173 158 440 1
0 170 156 450 1
0 166 155 460 1
0 162 155 470 1
0 158 154 480 1
0 154 155 490 1
0 150 155 500 1
0 146 157 510 1
0 142 158 520 1
0 138 161 530 1
0 135 164 540 1
0 132 167 550 1
0 129 171 560 1
0 126 175 570 1
0 124 180 580 1
0 123 185 590 1
0 122 190 600 1
0 121 196 610 1
0 121 201 620 1
0 121 207 630 1
0 121 212 640 1
0 122 216 650 1
0 124 220 660 1
0 127 224 670 1
0 130 228 680 1
0 133 232 690 1
0 137 235 700 1
0 142 237 710 1
0 147 240 720 1
0 152 241 730 1
0 157 243 740 1
0 163 243 750 1
0 168 243 760 1
0 174 243 770 1
0 180 241 780 1
0 186 239 790 1
0 191 237 800 1
0 197 234 810 1
0 201 231 820 1
0 205 228 830 1
0 209 225 840 1
