stroke_id x y time is_writing
0 31 264 0 1
0 31 264 10 1
0 31 264 20 1
0 31 264 30 1
0 31 264 40 1
0 31 264 50 1
0 31 264 60 1
0 32 263 70 1
0 33 262 80 1
0 34 261 90 1
0 36 259 100 1
0 38 258 110 1
0 40 255 120 1
0 43 253 130 1
0 46 250 140 1
0 50 246 150 1
0 53 243 160 1
0 57 239 170 1
0 62 234 180 1
0 66 230 190 1
0 70 225 200 1
0 75 221 210 1
0 80 216 220 1
0 84 211 230 1
0 89 205 240 1
0 94 200 250 1
0 99 194 260 1
0 104 188 270 1
0 109 182 280 1
0 114 176 290 1
0 119 170 300 1
0 124 164 310 1
0 129 158 320 1
0 133 153 330 1
0 137 148 340 1
0 141 144 350 1
0 144 141 360 1
0 147 139 370 1
0 149 137 380 1
0 150 136 390 1
0 152 136 400 1
0 153 136 410 1
0 154 136 420 1
0 155 138 430 1
0 155 140 440 1
0 156 142 450 1
0 157 146 460 1
0 157 150 470 1
0 158 155 480 1
0 159 161 490 1
0 160 167 500 1
0 161 173 510 1
0 162 180 520 1
0 164 186 530 1
0 166 193 540 1
0 169 200 550 1
0 172 207 560 1
0 175 214 570 1
0 178 221 580 1
0 180 228 590 1
0 182 234 600 1
0 184 239 610 1
0 185 244 620 1
0 187 248 630 1
