stroke_id x y time is_writing
0 57 215 0 1
0 58 216 10 1
0 58 221 20 1
0 59 230 30 1
0 59 243 40 1
0 59 260 50 1
0 59 275 60 1
0 60 286 70 1
0 63 291 80 1
0 66 293 90 1
0 69 291 100 1
0 73 287 110 1
0 77 283 120 1
0 81 278 130 1
0 84 272 140 1
0 88 265 150 1
0 92 258 160 1
0 97 250 170 1
0 103 241 180 1
0 109 231 190 1
0 116 222 200 1
0 125 214 210 1
0 134 205 220 1
0 143 196 230 1
0 153 189 240 1
0 162 182 250 1
0 171 177 260 1
0 180 172 270 1
0 189 168 280 1
0 196 165 290 1
0 204 162 300 1
0 210 160 310 1
