stroke_id x y time is_writing
0 93 254 0 1
0 93 254 10 1
0 93 254 20 1
0 93 252 30 1
0 94 249 40 1
0 95 244 50 1
0 97 237 60 1
0 97 226 70 1
0 96 213 80 1
0 94 199 90 1
0 93 187 100 1
0 92 179 110 1
0 93 177 120 1
0 95 180 130 1
0 101 188 140 1
0 108 199 150 1
0 116 210 160 1
0 124 219 170 1
0 131 226 180 1
0 136 231 190 1
0 140 234 200 1
0 142 236 210 1
0 144 237 220 1
0 145 237 230 1
0 145 238 240 1
0 146 238 250 1
0 146 238 260 1
0 146 238 270 1
0 146 238 280 1
0 146 237 290 1
0 144 237 300 1
0 141 235 310 1
0 136 232 320 1
0 127 229 330 1
0 114 225 340 1
0 100 223 350 1
0 86 222 360 1
0 74 223 370 1
0 65 225 380 1
0 60 226 390 1
0 59 226 400 1
0 62 225 410 1
0 67 222 420 1
0 75 218 430 1
0 85 213 440 1
0 94 208 450 1
0 104 203 460 1
0 115 197 470 1
0 125 192 480 1
0 133 187 490 1
0 141 183 500 1
0 147 180 510 1
0 152 177 520 1
0 155 175 530 1
0 158 174 540 1
0 160 173 550 1
0 161 172 560 1
0 162 172 570 1
0 163 171 580 1
0 163 171 590 1
0 163 171 600 1
0 163 171 610 1
0 163 171 620 1
0 162 172 630 1
0 160 174 640 1
0 156 177 650 1
0 150 182 660 1
0 142 189 670 1
0 132 199 680 1
0 123 211 690 1
0 115 224 700 1
