stroke_id x y time is_writing
0 149 127 0 1
0 149 130 10 1
0 149 130 20 1
0 149 130 30 1
0 149 130 40 1
0 149 130 50 1
0 148 128 60 1
0 146 126 70 1
0 142 123 80 1
0 137 120 90 1
0 133 119 100 1
0 128 117 110 1
0 125 117 120 1
0 121 118 130 1
0 118 119 140 1
0 115 121 150 1
0 113 123 160 1
0 111 125 170 1
0 109 126 180 1
0 108 129 190 1
0 107 131 200 1
0 106 134 210 1
0 105 137 220 1
0 105 141 230 1
0 105 146 240 1
0 105 151 250 1
0 105 158 260 1
0 106 165 270 1
0 106 172 280 1
0 104 180 290 1
0 101 187 300 1
0 99 193 310 1
0 97 197 320 1
0 95 201 330 1
0 93 204 340 1
0 92 206 350 1
0 91 207 360 1
0 91 207 370 1
0 91 205 380 1
0 93 202 390 1
0 95 200 400 1
0 97 197 410 1
0 101 196 420 1
0 105 195 430 1
0 109 195 440 1
0 113 198 450 1
0 115 201 460 1
0 116 205 470 1
0 116 210 480 1
0 116 216 490 1
0 116 222 500 1
0 115 229 510 1
0 115 235 520 1
0 114 240 530 1
0 114 245 540 1
0 114 249 550 1
0 114 252 560 1
0 114 255 570 1
0 115 256 580 1
0 116 258 590 1
0 118 259 600 1
0 120 259 610 1
0 123 260 620 1
0 125 260 630 1
0 128 260 640 1
0 132 259 650 1
0 135 259 660 1
0 137 258 670 1
0 140 257 680 1
0 142 257 690 1
0 144 256 700 1
